"Encounter for problem (procedure)","4308"
"Urgent care clinic (procedure)","3633"
"Encounter for check up (procedure)","2950"
"General examination of patient (procedure)","1880"
"Encounter for symptom","1824"
"Follow-up encounter","1565"
"Telemedicine consultation with patient","1548"
"Emergency Encounter","1475"
"Patient encounter procedure (procedure)","1059"
"Prenatal visit","1026"
"Administration of vaccine to produce active immunity (procedure)","1003"
"Encounter for problem","959"
"Patient encounter procedure","681"
"Encounter for 'check-up'","678"
"Emergency room admission (procedure)","472"
"Consultation for treatment","469"
"Postoperative follow-up visit (procedure)","290"
"Follow-up encounter (procedure)","263"
"Prenatal initial visit","195"
"Screening surveillance (regime/therapy)","194"
"Office Visit","170"
"Gynecology service (qualifier value)","140"
"Obstetric emergency hospital admission","127"
"Postnatal visit","119"
"Emergency Room Admission","118"
"Asthma follow-up","98"
"Follow-up visit (procedure)","73"
"Drug rehabilitation and detoxification","64"
"Encounter for symptom (procedure)","58"
"Outpatient procedure","54"
"Stroke","53"
"Death Certification","51"
"Encounter for Problem","43"
"Admission to intensive care unit (procedure)","38"
"Patient-initiated encounter","32"
"Telephone encounter (procedure)","24"
"Admission to hospice (procedure)","21"
"Hospital admission for isolation (procedure)","17"
"Domiciliary or rest home patient evaluation and management","16"
"Emergency hospital admission for asthma","15"
"Hospital admission","13"
"Admission to surgical department","13"
"Non-urgent orthopedic admission","12"
"Encounter Inpatient","12"
"Discussion about treatment (procedure)","9"
"Myocardial Infarction","8"
"Hypertension follow-up encounter","6"
"Periodic reevaluation and management of healthy individual (procedure)","5"
"Cardiac Arrest","4"
"posttraumatic stress disorder","3"
"Initial Psychiatric Interview with mental status evaluation","1"
"Allergic disorder initial assessment","1"
"Allergic disorder follow-up assessment","1"
