"Assessment of health and social care needs (procedure)","4596"
"Hospice care (regime/therapy)","4098"
"Depression screening using Patient Health Questionnaire Two-Item score (procedure)","3614"
"Depression screening (procedure)","3614"
"Assessment of substance use (procedure)","2906"
"Renal dialysis (procedure)","2746"
"Assessment using Morse Fall Scale (procedure)","2422"
"Assessment of anxiety (procedure)","2288"
"Medication Reconciliation (procedure)","2284"
"Screening for drug abuse (procedure)","1484"
